Date:Mean infrastructure per profile:Median infrastructure per profile:Top infrastructure per profile:Second infrastructure per profile:Third infrastructure per profile:Forth infrastructure per profile:Fifth infrastructure per profile
2014-03-11:2,3703703703703702:1,0:17:8:8:7:5
2014-03-11:2,3962264150943398:1,0:17:8:8:7:5
2014-03-11:2,3703703703703702:1,0:17:8:8:7:5
2014-03-12:2,3962264150943398:1,0:17:8:8:7:5
2014-03-12:2,3962264150943398:1,0:17:8:8:7:5
2014-03-12:2,3962264150943398:1,0:17:8:8:7:5
2014-03-12:2,3962264150943398:1,0:17:8:8:7:5
2014-03-13:2,3962264150943398:1,0:17:8:8:7:5
2014-03-13:2,3962264150943398:1,0:17:8:8:7:5
2014-03-13:2,3962264150943398:1,0:17:8:8:7:5
2014-03-13:2,3962264150943398:1,0:17:8:8:7:5
2014-03-14:2,3962264150943398:1,0:17:8:8:7:5
2014-03-21:2,3962264150943398:1,0:17:8:8:7:5
2014-03-26:2,3962264150943398:1,0:17:8:8:7:5
2014-03-27:2,3962264150943398:1,0:17:8:8:7:5
2014-03-27:2,3962264150943398:1,0:17:8:8:7:5
2014-03-27:2,3962264150943398:1,0:17:8:8:7:5
2014-03-27:2,3962264150943398:1,0:17:8:8:7:5
2014-03-27:2,3962264150943398:1,0:17:8:8:7:5
2014-03-27:2,3962264150943398:1,0:17:8:8:7:5
2014-03-27:2,3962264150943398:1,0:17:8:8:7:5
2014-03-28:2,3962264150943398:1,0:17:8:8:7:5
2014-03-31:2,3962264150943398:1,0:17:8:8:7:5
2014-04-02:2,425925925925926:1,0:17:8:8:7:5
2014-04-03:2,5:1,0:17:9:8:8:7
2014-04-03:2,5:1,0:17:9:8:8:7
2014-04-18:2,481481481481482:1,0:17:9:8:8:7
2014-04-21:2,481481481481482:1,0:17:9:8:8:7
2014-04-24:2,5:1,0:17:9:8:8:7
2014-04-25:2,5:1,0:17:9:8:8:7
2014-05-08:2,5:1,0:17:9:8:8:7
2014-05-08:2,5:1,0:17:9:8:8:7
2014-05-08:2,5:1,0:17:9:8:8:7
2014-05-09:2,5:1,0:17:9:8:8:7
2014-05-09:2,5:1,0:17:9:8:8:7
2014-05-09:2,5:1,0:17:9:8:8:7
2014-05-09:2,5:1,0:17:9:8:8:7
2014-05-13:2,5:1,0:17:9:8:8:7
2014-05-14:2,5:1,0:17:9:8:8:7
2014-05-14:2,5:1,0:17:9:8:8:7
2014-05-16:2,5:1,0:17:9:8:8:7
2014-05-16:2,5:1,0:17:9:8:8:7
2014-05-20:2,5294117647058822:1,0:17:9:8:8:7
2014-05-20:2,5294117647058822:1,0:17:9:8:8:7
2014-05-21:2,5294117647058822:1,0:17:9:8:8:7
2014-05-22:2,5294117647058822:1,0:17:9:8:8:7
2014-05-22:2,5:1,0:17:9:8:8:7
2014-05-23:2,5294117647058822:1,0:17:9:8:8:7
2014-05-23:2,5:1,0:17:9:8:8:7
2014-05-28:2,5:1,0:17:9:8:8:7
2014-05-28:2,673076923076923:1,0:17:12:9:8:8
2014-05-28:2,673076923076923:1,0:17:12:9:8:8
2014-05-29:2,673076923076923:1,0:17:12:9:8:8
2014-06-03:2,673076923076923:1,0:17:12:9:8:8
2014-06-03:2,641509433962264:1,0:17:12:9:8:8
2014-06-05:2,641509433962264:1,0:17:12:9:8:8
2014-06-06:2,641509433962264:1,0:17:12:9:8:8
2014-06-06:2,6296296296296298:1,0:17:12:9:8:8
2014-06-06:2,6181818181818186:1,0:17:12:9:8:8
2014-06-06:2,6181818181818186:1,0:17:12:9:8:8
2014-06-11:2,6181818181818186:1,0:17:12:9:8:8
2014-06-11:2,6181818181818186:1,0:17:12:9:8:8
2014-06-20:2,6181818181818186:1,0:17:12:9:8:8
2014-06-20:2,6181818181818186:1,0:17:12:9:8:8
2014-06-24:2,6181818181818186:1,0:17:12:9:8:8
2014-06-24:2,6181818181818186:1,0:17:12:9:8:8
2014-06-25:2,6181818181818186:1,0:17:12:9:8:8
2014-06-26:2,6363636363636362:1,0:17:12:9:8:8
2014-06-29:2,6363636363636362:1,0:17:12:9:8:8
2014-06-30:2,6363636363636362:1,0:17:12:9:8:8
2014-06-30:2,6363636363636362:1,0:17:12:9:8:8
2014-07-01:2,6363636363636362:1,0:17:12:9:8:8
2014-07-02:2,6363636363636362:1,0:17:12:9:8:8
2014-07-04:2,6363636363636362:1,0:17:12:9:8:8
2014-07-04:2,6363636363636362:1,0:17:12:9:8:8
2014-07-07:2,6363636363636362:1,0:17:12:9:8:8
2014-07-07:2,6363636363636362:1,0:17:12:9:8:8
2014-07-07:2,6363636363636362:1,0:17:12:9:8:8
2014-07-07:2,6363636363636362:1,0:17:12:9:8:8
2014-07-08:2,6363636363636362:1,0:17:12:9:8:8
2014-07-08:2,6363636363636362:1,0:17:12:9:8:8
2014-07-14:2,6363636363636362:1,0:17:12:9:8:8
2014-07-15:2,6363636363636362:1,0:17:12:9:8:8
2014-07-16:2,6071428571428568:1,0:17:12:9:8:8
2014-07-16:2,6071428571428568:1,0:17:12:9:8:8
2014-07-16:2,6071428571428568:1,0:17:12:9:8:8
2014-07-17:2,6071428571428568:1,0:17:12:9:8:8
2014-07-17:2,6071428571428568:1,0:17:12:9:8:8
2014-07-18:2,6071428571428568:1,0:17:12:9:8:8
2014-07-18:2,6071428571428568:1,0:17:12:9:8:8
2014-07-20:2,6071428571428568:1,0:17:12:9:8:8
2014-07-21:2,6071428571428568:1,0:17:12:9:8:8
2014-07-21:2,6071428571428568:1,0:17:12:9:8:8
2014-07-21:2,6071428571428568:1,0:17:12:9:8:8
2014-07-21:2,6071428571428568:1,0:17:12:9:8:8
2014-07-24:2,6428571428571432:1,0:17:12:9:8:8
2014-07-24:2,6428571428571432:1,0:17:12:9:8:8
2014-07-24:2,6428571428571432:1,0:17:12:9:8:8
2014-07-24:2,6071428571428568:1,0:17:12:9:8:8
2014-07-24:2,6428571428571432:1,0:17:12:9:8:8
2014-07-24:2,6428571428571432:1,0:17:12:9:8:8
2014-07-25:2,6428571428571432:1,0:17:12:9:8:8
2014-07-29:2,6428571428571432:1,0:17:12:9:8:8
2014-07-29:2,6428571428571432:1,0:17:12:9:8:8
2014-07-29:2,6428571428571432:1,0:17:12:9:8:8
2014-07-29:2,6428571428571432:1,0:17:12:9:8:8
2014-07-30:2,6428571428571432:1,0:17:12:9:8:8
2014-07-30:2,6428571428571432:1,0:17:12:9:8:8
2014-07-30:2,6428571428571432:1,0:17:12:9:8:8
2014-07-30:2,6428571428571432:1,0:17:12:9:8:8
2014-07-31:2,6428571428571432:1,0:17:12:9:8:8
2014-07-31:2,6428571428571432:1,0:17:12:9:8:8
2014-08-04:2,6428571428571432:1,0:17:12:9:8:8
2014-08-04:2,6428571428571432:1,0:17:12:9:8:8
2014-08-04:2,6428571428571432:1,0:17:12:9:8:8
2014-08-05:2,6428571428571432:1,0:17:12:9:8:8
2014-08-05:2,6428571428571432:1,0:17:12:9:8:8
2014-08-05:2,6428571428571432:1,0:17:12:9:8:8
2014-08-05:2,6428571428571432:1,0:17:12:9:8:8
2014-08-05:2,6428571428571432:1,0:17:12:9:8:8
2014-08-06:2,6428571428571432:1,0:17:12:9:8:8
2014-08-06:2,6428571428571432:1,0:17:12:9:8:8
2014-08-08:2,660714285714286:1,0:17:12:9:8:8
2014-08-08:2,660714285714286:1,0:17:12:9:8:8
2014-08-12:2,660714285714286:1,0:17:12:9:8:8
2014-08-12:2,660714285714286:1,0:17:12:9:8:8
2014-08-13:2,660714285714286:1,0:17:12:9:8:8
2014-08-13:2,660714285714286:1,0:17:12:9:8:8
2014-08-13:2,660714285714286:1,0:17:12:9:8:8
2014-08-13:2,660714285714286:1,0:17:12:9:8:8
2014-08-14:2,660714285714286:1,0:17:12:9:8:8
2014-08-14:2,660714285714286:1,0:17:12:9:8:8
2014-08-14:2,660714285714286:1,0:17:12:9:8:8
2014-08-15:2,660714285714286:1,0:17:12:9:8:8
2014-08-15:2,660714285714286:1,0:17:12:9:8:8
2014-08-18:2,660714285714286:1,0:17:12:9:8:8
2014-08-18:2,660714285714286:1,0:17:12:9:8:8
2014-08-18:2,660714285714286:1,0:17:12:9:8:8
2014-08-19:2,6909090909090905:1,0:17:12:9:8:8
2014-08-19:2,660714285714286:1,0:17:12:9:8:8
2014-08-19:2,6909090909090905:1,0:17:12:9:8:8
2014-08-19:2,660714285714286:1,0:17:12:9:8:8
2014-08-20:2,6909090909090905:1,0:17:12:9:8:8
2014-08-20:2,6909090909090905:1,0:17:12:9:8:8
2014-09-01:2,9090909090909087:1,0:21:17:12:8:8
2014-09-02:2,9090909090909087:1,0:21:17:12:8:8
2014-09-03:2,9090909090909087:1,0:21:17:12:8:8
2014-09-03:2,9090909090909087:1,0:21:17:12:8:8
2014-09-03:2,9090909090909087:1,0:21:17:12:8:8
2014-09-15:2,9090909090909087:1,0:21:17:12:8:8
2014-09-18:3,089285714285714:1,0:21:17:13:12:8
2014-09-18:3,089285714285714:1,0:21:17:13:12:8
2014-09-19:3,089285714285714:1,0:21:17:13:12:8
2014-09-19:3,1071428571428568:1,0:21:17:13:12:8
2014-09-19:3,089285714285714:1,0:21:17:13:12:8
2014-09-22:3,1071428571428568:1,0:21:17:13:12:8
2014-09-23:3,1272727272727274:1,0:21:17:13:12:8
2014-09-24:3,1272727272727274:1,0:21:17:13:12:8
2014-09-25:3,1272727272727274:1,0:21:17:13:12:8
2014-09-29:3,1272727272727274:1,0:21:17:13:12:8
2014-10-02:3,1272727272727274:1,0:21:17:13:12:8
2014-10-06:3,1272727272727274:1,0:21:17:13:12:8
2014-10-06:3,1272727272727274:1,0:21:17:13:12:8
2014-10-06:3,1272727272727274:1,0:21:17:13:12:8
2014-10-07:3,1272727272727274:1,0:21:17:13:12:8
2014-10-08:3,1272727272727274:1,0:21:17:13:12:8
2014-10-09:3,1272727272727274:1,0:21:17:13:12:8
2014-10-17:3,1272727272727274:1,0:21:17:13:12:8
2014-10-20:3,1272727272727274:1,0:21:17:13:12:8
2014-10-24:3,109090909090909:1,0:21:17:13:12:8
2014-11-01:3,109090909090909:1,0:21:17:13:12:8
2014-11-08:3,109090909090909:1,0:21:17:13:12:8
2014-11-08:3,109090909090909:1,0:21:17:13:12:8
2014-11-10:3,109090909090909:1,0:21:17:13:12:8
2014-11-10:3,109090909090909:1,0:21:17:13:12:8
2014-11-12:3,109090909090909:1,0:21:17:13:12:8
2014-11-12:3,109090909090909:1,0:21:17:13:12:8
2014-11-12:3,109090909090909:1,0:21:17:13:12:8
2014-11-12:3,109090909090909:1,0:21:17:13:12:8
2014-11-12:3,109090909090909:1,0:21:17:13:12:8
2014-11-13:3,109090909090909:1,0:21:17:13:12:8
2014-11-13:3,109090909090909:1,0:21:17:13:12:8
2014-11-13:3,109090909090909:1,0:21:17:13:12:8
2014-11-13:3,109090909090909:1,0:21:17:13:12:8
2014-11-14:3,109090909090909:1,0:21:17:13:12:8
2014-11-17:3,109090909090909:1,0:21:17:13:12:8
2014-11-24:3,1272727272727274:1,0:21:17:13:12:8
2014-11-26:3,1272727272727274:1,0:21:17:13:12:8
2014-12-01:3,145454545454546:2,0:21:17:13:12:8
2014-12-02:3,145454545454546:2,0:21:17:13:12:8
2014-12-02:3,145454545454546:2,0:21:17:13:12:8
2014-12-06:3,145454545454546:2,0:21:17:13:12:8
2014-12-08:3,145454545454546:2,0:21:17:13:12:8
2014-12-08:3,145454545454546:2,0:21:17:13:12:8
2014-12-08:3,145454545454546:2,0:21:17:13:12:8
2014-12-16:3,1071428571428568:1,5:21:17:13:12:8
2014-12-16:3,1071428571428568:1,5:21:17:13:12:8
2014-12-16:3,1071428571428568:1,5:21:17:13:12:8
2014-12-16:3,1071428571428568:1,5:21:17:13:12:8
2014-12-17:3,1071428571428568:1,5:21:17:13:12:8
2014-12-18:3,1071428571428568:1,5:21:17:13:12:8
2014-12-18:3,25:1,5:25:21:13:12:8
2014-12-21:3,25:1,5:25:21:13:12:8
2014-12-22:3,25:1,5:25:21:13:12:8
2014-12-23:3,25:1,5:25:21:13:12:8
2014-12-23:3,25:1,5:25:21:13:12:8
2015-01-07:3,25:1,5:25:21:13:12:8
2015-01-07:3,25:1,5:25:21:13:12:8
2015-01-07:3,25:1,5:25:21:13:12:8
2015-01-08:3,25:1,5:25:21:13:12:8
2015-01-21:3,25:1,5:25:21:13:12:8
2015-01-21:3,25:1,5:25:21:13:12:8
2015-01-21:3,25:1,5:25:21:13:12:8
2015-01-26:3,25:1,5:25:21:13:12:8
2015-02-03:3,446428571428571:1,5:25:21:14:13:12
2015-02-03:3,446428571428571:1,5:25:21:14:13:12
2015-02-05:3,4181818181818184:1,0:25:21:14:13:12
2015-02-05:3,4181818181818184:1,0:25:21:14:13:12
2015-02-11:3,4181818181818184:1,0:25:21:14:13:12
2015-02-16:3,4629629629629637:1,5:25:21:14:13:12
2015-02-17:3,454545454545455:2,0:25:21:14:13:12
2015-02-17:3,454545454545455:2,0:25:21:14:13:12
2015-02-23:3,454545454545455:2,0:25:21:14:13:12
2015-02-23:3,5:2,0:25:21:14:13:12
2015-02-23:3,4727272727272727:2,0:25:21:14:13:12
2015-02-27:3,4727272727272727:2,0:25:21:14:13:12
2015-02-28:3,4727272727272727:2,0:25:21:14:13:12
2015-03-02:3,4727272727272727:2,0:25:21:14:13:12
