Date:Scalable:Vertical:Horizontal:Auto
2013-12-04:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-04:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-05:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-05:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-10:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-10:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-10:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-11:86,76470588235294:55,88235294117647:70,58823529411765:41,17647058823529
2013-12-11:86,56716417910447:56,71641791044776:71,64179104477611:40,298507462686565
2013-12-12:86,56716417910447:55,223880597014926:70,1492537313433:40,298507462686565
2013-12-16:86,56716417910447:55,223880597014926:70,1492537313433:40,298507462686565
2013-12-19:86,56716417910447:55,223880597014926:70,1492537313433:40,298507462686565
2013-12-19:86,56716417910447:55,223880597014926:70,1492537313433:40,298507462686565
2013-12-19:86,56716417910447:55,223880597014926:70,1492537313433:40,298507462686565
2013-12-19:86,56716417910447:55,223880597014926:70,1492537313433:40,298507462686565
2014-01-07:86,56716417910447:55,223880597014926:70,1492537313433:40,298507462686565
2014-01-11:86,56716417910447:55,223880597014926:70,1492537313433:40,298507462686565
2014-01-11:86,56716417910447:55,223880597014926:70,1492537313433:40,298507462686565
2014-01-11:86,56716417910447:55,223880597014926:70,1492537313433:40,298507462686565
2014-01-17:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-01-17:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-01-21:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-01-21:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-01-29:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-02-05:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-02-05:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-02-07:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-02-07:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-02-07:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-02-07:86,76470588235294:54,41176470588235:70,58823529411765:39,705882352941174
2014-02-07:86,95652173913044:53,62318840579711:71,01449275362319:40,57971014492754
2014-02-10:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-10:86,95652173913044:53,62318840579711:71,01449275362319:40,57971014492754
2014-02-10:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-13:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-13:87,32394366197182:53,52112676056338:71,83098591549296:40,845070422535215
2014-02-14:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-17:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-17:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-17:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-17:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-17:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-17:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-18:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-18:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-18:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-18:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-19:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-19:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-25:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-25:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-02-26:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-03-04:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-03-04:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-03-04:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-03-05:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-03-06:87,14285714285714:52,85714285714286:71,42857142857143:40,0
2014-03-10:87,32394366197182:53,52112676056338:71,83098591549296:39,436619718309856
2014-03-11:87,67123287671232:53,42465753424658:72,6027397260274:39,726027397260275
2014-03-11:87,5:52,77777777777778:72,22222222222221:38,88888888888889
2014-03-11:87,5:52,77777777777778:72,22222222222221:38,88888888888889
2014-03-11:87,67123287671232:53,42465753424658:72,6027397260274:39,726027397260275
2014-03-11:87,32394366197182:53,52112676056338:71,83098591549296:39,436619718309856
2014-03-11:87,67123287671232:53,42465753424658:72,6027397260274:39,726027397260275
2014-03-12:87,5:52,77777777777778:72,22222222222221:38,88888888888889
2014-03-12:87,5:52,77777777777778:72,22222222222221:38,88888888888889
2014-03-12:87,5:52,77777777777778:72,22222222222221:38,88888888888889
2014-03-12:87,5:52,77777777777778:72,22222222222221:38,88888888888889
2014-03-13:87,5:52,77777777777778:72,22222222222221:38,88888888888889
2014-03-13:87,83783783783784:54,054054054054056:72,97297297297297:40,54054054054054
2014-03-13:87,5:52,77777777777778:72,22222222222221:38,88888888888889
2014-03-13:87,5:52,77777777777778:72,22222222222221:38,88888888888889
2014-03-14:87,83783783783784:54,054054054054056:72,97297297297297:40,54054054054054
2014-03-21:87,83783783783784:54,054054054054056:72,97297297297297:40,54054054054054
2014-03-26:87,83783783783784:54,054054054054056:72,97297297297297:40,54054054054054
2014-03-27:88,0:54,666666666666664:73,33333333333333:40,0
2014-03-27:87,83783783783784:54,054054054054056:72,97297297297297:40,54054054054054
2014-03-27:87,83783783783784:54,054054054054056:72,97297297297297:40,54054054054054
2014-03-27:87,83783783783784:54,054054054054056:72,97297297297297:40,54054054054054
2014-03-27:87,83783783783784:54,054054054054056:72,97297297297297:40,54054054054054
2014-03-27:87,83783783783784:54,054054054054056:72,97297297297297:40,54054054054054
2014-03-27:87,83783783783784:54,054054054054056:72,97297297297297:40,54054054054054
2014-03-28:88,0:54,666666666666664:73,33333333333333:40,0
2014-03-31:88,0:54,666666666666664:73,33333333333333:40,0
2014-04-02:88,0:54,666666666666664:73,33333333333333:40,0
2014-04-03:88,0:54,666666666666664:73,33333333333333:40,0
2014-04-03:88,0:54,666666666666664:73,33333333333333:40,0
2014-04-18:88,0:54,666666666666664:73,33333333333333:40,0
2014-04-21:88,0:54,666666666666664:73,33333333333333:40,0
2014-04-24:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-04-25:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-08:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-08:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-08:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-09:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-09:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-09:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-09:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-13:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-14:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-14:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-16:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-16:88,88888888888889:55,55555555555556:73,61111111111111:40,27777777777778
2014-05-20:88,73239436619718:56,33802816901409:73,23943661971832:40,845070422535215
2014-05-20:88,73239436619718:56,33802816901409:73,23943661971832:40,845070422535215
2014-05-21:88,73239436619718:56,33802816901409:73,23943661971832:40,845070422535215
2014-05-22:89,04109589041096:57,534246575342465:73,97260273972603:39,726027397260275
2014-05-22:89,04109589041096:57,534246575342465:73,97260273972603:39,726027397260275
2014-05-23:89,04109589041096:57,534246575342465:73,97260273972603:39,726027397260275
2014-05-23:89,1891891891892:56,75675675675676:74,32432432432432:39,189189189189186
2014-05-28:89,1891891891892:56,75675675675676:74,32432432432432:39,189189189189186
2014-05-28:89,1891891891892:56,75675675675676:74,32432432432432:39,189189189189186
2014-05-28:89,1891891891892:56,75675675675676:74,32432432432432:39,189189189189186
2014-05-29:89,1891891891892:56,75675675675676:74,32432432432432:39,189189189189186
2014-06-03:89,1891891891892:56,75675675675676:74,32432432432432:39,189189189189186
2014-06-03:89,33333333333333:57,333333333333336:74,66666666666667:38,666666666666664
2014-06-05:89,33333333333333:57,333333333333336:74,66666666666667:38,666666666666664
2014-06-06:89,33333333333333:57,333333333333336:74,66666666666667:38,666666666666664
2014-06-06:89,47368421052632:57,89473684210527:73,68421052631578:38,15789473684211
2014-06-06:89,6103896103896:58,44155844155844:74,02597402597402:38,961038961038966
2014-06-06:89,6103896103896:58,44155844155844:74,02597402597402:37,66233766233766
2014-06-11:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-06-11:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-06-20:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-06-20:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-06-24:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-06-24:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-06-25:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-06-26:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-06-29:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-06-30:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-06-30:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-01:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-02:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-04:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-04:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-07:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-07:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-07:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-07:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-08:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-08:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-14:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-15:89,6103896103896:58,44155844155844:75,32467532467533:38,961038961038966
2014-07-16:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-16:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-16:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-17:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-17:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-18:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-18:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-20:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-21:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-21:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-21:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-21:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-24:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-24:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-24:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-24:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-24:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-24:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-25:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-29:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-29:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-29:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-29:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-30:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-30:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-30:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-30:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-31:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-07-31:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-04:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-04:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-04:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-05:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-05:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-05:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-05:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-05:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-06:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-06:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-08:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-08:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-12:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-12:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-13:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-13:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-13:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-13:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-14:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-14:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-14:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-15:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-15:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-18:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-18:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-18:89,74358974358975:58,97435897435898:75,64102564102564:38,46153846153847
2014-08-19:89,6103896103896:59,74025974025974:76,62337662337663:38,961038961038966
