Date:Mean:Median:Youngest:Oldest
2014-05-13:206,0:293,0:4:312
2014-05-14:203,23611111111111:294,0:0:313
2014-05-14:206,15277777777777:294,0:1:313
2014-05-16:205,23611111111111:296,0:2:315
2014-05-16:205,23611111111111:296,0:2:315
2014-05-20:207,85915492957747:300,0:6:319
2014-05-20:203,3661971830986:299,0:0:319
2014-05-21:204,3661971830986:300,0:1:320
2014-05-22:195,4109589041096:217,0:0:321
2014-05-22:195,4109589041096:217,0:0:321
2014-05-23:192,0:163,0:0:322
2014-05-23:189,40540540540542:163,0:0:322
2014-05-28:194,40540540540542:168,0:5:327
2014-05-28:167,95945945945945:114,0:0:327
2014-05-28:167,95945945945945:114,0:0:327
2014-05-29:168,48648648648648:115,0:1:328
2014-06-03:172,09459459459458:120,0:0:333
2014-06-03:169,8:116,0:0:333
2014-06-05:171,8:118,0:2:335
2014-06-06:172,8:119,0:3:336
2014-06-06:170,53947368421052:119,0:1:336
2014-06-06:168,32467532467533:119,0:0:336
2014-06-06:168,32467532467533:119,0:0:336
2014-06-11:173,25974025974025:124,0:1:341
2014-06-11:173,25974025974025:124,0:1:341
2014-06-20:182,25974025974025:133,0:10:350
2014-06-20:182,25974025974025:133,0:10:350
2014-06-24:186,25974025974025:137,0:14:354
2014-06-24:186,25974025974025:137,0:14:354
2014-06-25:187,25974025974025:138,0:15:355
2014-06-26:188,25974025974025:139,0:16:356
2014-06-29:189,46753246753246:142,0:0:359
2014-06-30:187,97402597402598:140,0:1:360
2014-06-30:187,97402597402598:140,0:1:360
2014-07-01:188,97402597402598:141,0:2:361
2014-07-02:183,76623376623377:135,0:1:362
2014-07-04:185,76623376623377:137,0:3:364
2014-07-04:185,76623376623377:137,0:3:364
2014-07-07:188,62337662337663:140,0:0:367
2014-07-07:188,62337662337663:140,0:0:367
2014-07-07:188,76623376623377:140,0:6:367
2014-07-07:188,62337662337663:140,0:0:367
2014-07-08:187,8181818181818:141,0:0:368
2014-07-08:187,8181818181818:141,0:0:368
2014-07-14:193,8181818181818:147,0:6:374
