Date:Profiles with Native Services in percent:Profiles w/o Native Services in percent
2014-07-07:61,038961038961034:38,961038961038966
2014-07-07:61,038961038961034:38,961038961038966
2014-07-08:61,038961038961034:38,961038961038966
2014-07-08:61,038961038961034:38,961038961038966
2014-07-14:61,038961038961034:38,961038961038966
2014-07-15:61,038961038961034:38,961038961038966
2014-07-16:61,53846153846154:38,46153846153846
2014-07-16:61,53846153846154:38,46153846153846
2014-07-16:61,53846153846154:38,46153846153846
2014-07-17:61,53846153846154:38,46153846153846
2014-07-17:61,53846153846154:38,46153846153846
2014-07-18:61,53846153846154:38,46153846153846
2014-07-18:61,53846153846154:38,46153846153846
2014-07-20:61,53846153846154:38,46153846153846
2014-07-21:61,53846153846154:38,46153846153846
2014-07-21:61,53846153846154:38,46153846153846
2014-07-21:61,53846153846154:38,46153846153846
2014-07-21:61,53846153846154:38,46153846153846
2014-07-24:61,53846153846154:38,46153846153846
2014-07-24:61,53846153846154:38,46153846153846
2014-07-24:61,53846153846154:38,46153846153846
2014-07-24:61,53846153846154:38,46153846153846
2014-07-24:61,53846153846154:38,46153846153846
2014-07-24:61,53846153846154:38,46153846153846
2014-07-25:61,53846153846154:38,46153846153846
2014-07-29:61,53846153846154:38,46153846153846
2014-07-29:61,53846153846154:38,46153846153846
2014-07-29:61,53846153846154:38,46153846153846
2014-07-29:61,53846153846154:38,46153846153846
2014-07-30:61,53846153846154:38,46153846153846
2014-07-30:61,53846153846154:38,46153846153846
2014-07-30:61,53846153846154:38,46153846153846
2014-07-30:61,53846153846154:38,46153846153846
2014-07-31:61,53846153846154:38,46153846153846
2014-07-31:61,53846153846154:38,46153846153846
2014-08-04:61,53846153846154:38,46153846153846
2014-08-04:61,53846153846154:38,46153846153846
2014-08-04:61,53846153846154:38,46153846153846
2014-08-05:61,53846153846154:38,46153846153846
2014-08-05:61,53846153846154:38,46153846153846
2014-08-05:61,53846153846154:38,46153846153846
2014-08-05:61,53846153846154:38,46153846153846
2014-08-05:61,53846153846154:38,46153846153846
2014-08-06:61,53846153846154:38,46153846153846
2014-08-06:61,53846153846154:38,46153846153846
2014-08-08:61,53846153846154:38,46153846153846
2014-08-08:61,53846153846154:38,46153846153846
2014-08-12:61,53846153846154:38,46153846153846
2014-08-12:61,53846153846154:38,46153846153846
2014-08-13:61,53846153846154:38,46153846153846
2014-08-13:61,53846153846154:38,46153846153846
2014-08-13:61,53846153846154:38,46153846153846
2014-08-13:61,53846153846154:38,46153846153846
2014-08-14:61,53846153846154:38,46153846153846
