Date:Mean infrastructure per profile:Median infrastructure per profile:Top infrastructure per profile:Second infrastructure per profile:Third infrastructure per profile:North America:Europe:Asia:Oceania:South America:Africa
2013-07-29:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-07-29:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-07-30:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-08-06:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-08-06:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-08-06:2,408163265306123:1,0:12:8:8:56,92307692307692:43,07692307692308:20,0:13,846153846153847:12,307692307692308:0,0
2013-08-07:2,408163265306123:1,0:12:8:8:56,060606060606055:42,42424242424242:19,696969696969695:13,636363636363635:12,121212121212121:0,0
2013-08-08:2,408163265306123:1,0:12:8:8:56,060606060606055:42,42424242424242:19,696969696969695:13,636363636363635:12,121212121212121:0,0
2013-08-08:2,408163265306123:1,0:12:8:8:56,060606060606055:42,42424242424242:19,696969696969695:13,636363636363635:12,121212121212121:0,0
2013-08-13:2,408163265306123:1,0:12:8:8:56,060606060606055:42,42424242424242:19,696969696969695:13,636363636363635:12,121212121212121:0,0
2013-08-14:2,408163265306123:1,0:12:8:8:56,060606060606055:42,42424242424242:19,696969696969695:13,636363636363635:12,121212121212121:0,0
2013-08-14:2,408163265306123:1,0:12:8:8:56,060606060606055:42,42424242424242:19,696969696969695:13,636363636363635:12,121212121212121:0,0
2013-08-14:2,408163265306123:1,0:12:8:8:56,060606060606055:42,42424242424242:19,696969696969695:13,636363636363635:12,121212121212121:0,0
2013-08-21:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-03:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-03:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-04:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-04:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-04:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-04:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-06:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-09:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-09:2,5:1,0:12:8:8:56,25:40,625:20,3125:14,0625:12,5:0,0
2013-09-09:2,466666666666667:1,0:12:8:8:55,55555555555556:39,682539682539684:20,634920634920633:14,285714285714285:12,698412698412698:0,0
2013-09-09:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-09:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-09:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-09:2,4375:1,0:12:8:8:56,060606060606055:40,909090909090914:19,696969696969695:13,636363636363635:12,121212121212121:0,0
2013-09-09:2,4680851063829787:1,0:12:8:8:56,92307692307692:40,0:20,0:13,846153846153847:12,307692307692308:0,0
2013-09-09:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-11:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-09-27:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-01:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-07:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-10:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-10:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-15:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-16:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-16:2,408163265306123:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-17:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-30:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-30:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-30:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-10-31:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-01:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-04:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-07:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-08:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-18:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-18:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-18:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-19:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-19:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-19:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-20:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-26:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-26:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-28:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-11-29:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-02:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-03:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-03:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-04:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-04:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-04:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-05:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-05:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-10:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-10:2,387755102040816:1,0:12:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-10:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-11:2,42:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2013-12-11:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-12:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-16:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-19:2,4693877551020407:1,0:15:8:8:55,223880597014926:43,28358208955223:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-19:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-19:2,4489795918367343:1,0:15:8:8:55,223880597014926:41,7910447761194:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2013-12-19:2,4693877551020407:1,0:15:8:8:55,223880597014926:43,28358208955223:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2014-01-07:2,4693877551020407:1,0:15:8:8:55,223880597014926:43,28358208955223:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2014-01-11:2,4693877551020407:1,0:15:8:8:55,223880597014926:43,28358208955223:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2014-01-11:2,4693877551020407:1,0:15:8:8:55,223880597014926:43,28358208955223:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2014-01-11:2,4693877551020407:1,0:15:8:8:55,223880597014926:43,28358208955223:19,402985074626866:13,432835820895523:11,940298507462686:0,0
2014-01-17:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-01-17:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-01-21:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-01-21:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-01-29:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-02-05:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-02-05:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-02-07:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-02-07:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-02-07:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-02-07:2,4693877551020407:1,0:15:8:8:54,41176470588235:42,64705882352941:19,11764705882353:13,23529411764706:11,76470588235294:0,0
2014-02-07:2,4400000000000004:1,0:15:8:8:55,072463768115945:42,028985507246375:18,84057971014493:13,043478260869565:11,594202898550725:0,0
2014-02-10:2,411764705882353:1,0:15:8:8:55,714285714285715:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-10:2,4400000000000004:1,0:15:8:8:55,072463768115945:42,028985507246375:18,84057971014493:13,043478260869565:11,594202898550725:0,0
2014-02-10:2,411764705882353:1,0:15:8:8:55,714285714285715:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-13:2,4509803921568625:1,0:17:8:8:55,714285714285715:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-13:2,423076923076923:1,0:17:8:8:54,929577464788736:42,25352112676056:18,30985915492958:12,676056338028168:11,267605633802818:0,0
2014-02-14:2,4509803921568625:1,0:17:8:8:55,714285714285715:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-17:2,4509803921568625:1,0:17:8:8:55,714285714285715:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-17:2,4509803921568625:1,0:17:8:8:55,714285714285715:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-17:2,4509803921568625:1,0:17:8:8:55,714285714285715:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-17:2,4509803921568625:1,0:17:8:8:55,714285714285715:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-17:2,4509803921568625:1,0:17:8:8:55,714285714285715:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-17:2,4509803921568625:1,0:17:8:8:55,714285714285715:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-18:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-18:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-18:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-18:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-19:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-19:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-25:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-25:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-02-26:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-03-04:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-03-04:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-03-04:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-03-05:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-03-06:2,423076923076923:1,0:17:8:8:57,14285714285714:41,42857142857143:18,571428571428573:12,857142857142856:11,428571428571429:0,0
2014-03-10:2,3962264150943398:1,0:17:8:8:57,74647887323944:40,845070422535215:18,30985915492958:12,676056338028168:11,267605633802818:0,0
2014-03-11:2,3703703703703702:1,0:17:8:8:56,16438356164384:41,0958904109589:17,80821917808219:12,32876712328767:10,95890410958904:0,0
2014-03-11:2,3962264150943398:1,0:17:8:8:56,94444444444444:40,27777777777778:18,055555555555554:12,5:11,11111111111111:0,0
2014-03-11:2,3962264150943398:1,0:17:8:8:56,94444444444444:40,27777777777778:18,055555555555554:12,5:11,11111111111111:0,0
2014-03-11:2,3703703703703702:1,0:17:8:8:56,16438356164384:41,0958904109589:17,80821917808219:12,32876712328767:10,95890410958904:0,0
2014-03-11:2,3962264150943398:1,0:17:8:8:57,74647887323944:40,845070422535215:18,30985915492958:12,676056338028168:11,267605633802818:0,0
2014-03-11:2,3703703703703702:1,0:17:8:8:56,16438356164384:41,0958904109589:17,80821917808219:12,32876712328767:10,95890410958904:0,0
2014-03-12:2,3962264150943398:1,0:17:8:8:56,94444444444444:40,27777777777778:18,055555555555554:12,5:11,11111111111111:0,0
2014-03-12:2,3962264150943398:1,0:17:8:8:56,94444444444444:40,27777777777778:18,055555555555554:12,5:11,11111111111111:0,0
2014-03-12:2,3962264150943398:1,0:17:8:8:56,94444444444444:40,27777777777778:18,055555555555554:12,5:11,11111111111111:0,0
2014-03-12:2,3962264150943398:1,0:17:8:8:56,94444444444444:40,27777777777778:18,055555555555554:12,5:11,11111111111111:0,0
2014-03-13:2,3962264150943398:1,0:17:8:8:56,94444444444444:40,27777777777778:18,055555555555554:12,5:11,11111111111111:0,0
2014-03-13:2,3962264150943398:1,0:17:8:8:55,4054054054054:39,189189189189186:17,56756756756757:12,162162162162163:10,81081081081081:0,0
2014-03-13:2,3962264150943398:1,0:17:8:8:56,94444444444444:40,27777777777778:18,055555555555554:12,5:11,11111111111111:0,0
2014-03-13:2,3962264150943398:1,0:17:8:8:56,94444444444444:40,27777777777778:18,055555555555554:12,5:11,11111111111111:0,0
